book,word,n
Prisoner of Azkaban,week,22
Prisoner of Azkaban,willow,22
Prisoner of Azkaban,wind,22
Prisoner of Azkaban,wing,22
Prisoner of Azkaban,arms,21
Prisoner of Azkaban,cabin,21
Prisoner of Azkaban,call,21
Prisoner of Azkaban,d'you,21
Prisoner of Azkaban,death,21
Prisoner of Azkaban,divination,21
Prisoner of Azkaban,ear,21
Prisoner of Azkaban,filch,21
Prisoner of Azkaban,green,21
Prisoner of Azkaban,hold,21
Prisoner of Azkaban,hole,21
Prisoner of Azkaban,honeydukes,21
Prisoner of Azkaban,hope,21
Prisoner of Azkaban,knight,21
Prisoner of Azkaban,lying,21
Prisoner of Azkaban,quick,21
Prisoner of Azkaban,real,21
Prisoner of Azkaban,straight,21
Prisoner of Azkaban,thick,21
Prisoner of Azkaban,visit,21
Prisoner of Azkaban,worse,21
Prisoner of Azkaban,crystal,20
Prisoner of Azkaban,doors,20
Prisoner of Azkaban,fingers,20
Prisoner of Azkaban,free,20
Prisoner of Azkaban,hissed,20
Prisoner of Azkaban,hospital,20
Prisoner of Azkaban,mad,20
Prisoner of Azkaban,matter,20
Prisoner of Azkaban,ran,20
Prisoner of Azkaban,ready,20
Prisoner of Azkaban,shot,20
Prisoner of Azkaban,starting,20
Prisoner of Azkaban,talk,20
Prisoner of Azkaban,teachers,20
Prisoner of Azkaban,tears,20
Prisoner of Azkaban,voices,20
Prisoner of Azkaban,world,20
Prisoner of Azkaban,ahead,19
Prisoner of Azkaban,angry,19
Prisoner of Azkaban,backward,19
Prisoner of Azkaban,break,19
Prisoner of Azkaban,brought,19
Prisoner of Azkaban,cage,19
Prisoner of Azkaban,ears,19
Prisoner of Azkaban,friend,19
Prisoner of Azkaban,furiously,19
Prisoner of Azkaban,glass,19
Prisoner of Azkaban,grim,19
Prisoner of Azkaban,keeper,19
Prisoner of Azkaban,laughter,19
Prisoner of Azkaban,legs,19
Prisoner of Azkaban,managed,19
Prisoner of Azkaban,miss,19
Prisoner of Azkaban,news,19
Prisoner of Azkaban,parvati,19
Prisoner of Azkaban,rain,19
Prisoner of Azkaban,scared,19
Prisoner of Azkaban,tonight,19
Prisoner of Azkaban,trelawney's,19
Prisoner of Azkaban,twelve,19
Prisoner of Azkaban,wearing,19
Prisoner of Azkaban,worst,19
Prisoner of Azkaban,approached,18
Prisoner of Azkaban,broken,18
Prisoner of Azkaban,broomstick,18
Prisoner of Azkaban,carrying,18
Prisoner of Azkaban,continued,18
Prisoner of Azkaban,darkness,18
Prisoner of Azkaban,deep,18
Prisoner of Azkaban,deserted,18
Prisoner of Azkaban,direction,18
Prisoner of Azkaban,disappeared,18
Prisoner of Azkaban,entered,18
Prisoner of Azkaban,excellent,18
Prisoner of Azkaban,flitwick,18
Prisoner of Azkaban,headed,18
Prisoner of Azkaban,hidden,18
Prisoner of Azkaban,hiding,18
Prisoner of Azkaban,hours,18
Prisoner of Azkaban,lay,18
Prisoner of Azkaban,memory,18
Prisoner of Azkaban,nose,18
Prisoner of Azkaban,peeves,18
Prisoner of Azkaban,pulling,18
Prisoner of Azkaban,snapped,18
Prisoner of Azkaban,stone,18
Prisoner of Azkaban,story,18
Prisoner of Azkaban,stuff,18
Prisoner of Azkaban,term,18
Prisoner of Azkaban,terrible,18
Prisoner of Azkaban,trees,18
Prisoner of Azkaban,true,18
Prisoner of Azkaban,upstairs,18
Prisoner of Azkaban,water,18
Prisoner of Azkaban,windows,18
Prisoner of Azkaban,wizards,18
Prisoner of Azkaban,abruptly,17
Prisoner of Azkaban,arrived,17
Prisoner of Azkaban,bottle,17
Prisoner of Azkaban,cauldron,17
Prisoner of Azkaban,committee,17
Prisoner of Azkaban,dean,17
Prisoner of Azkaban,dropped,17
Prisoner of Azkaban,eat,17
Prisoner of Azkaban,eyed,17
Prisoner of Azkaban,family,17
Prisoner of Azkaban,fine,17
Prisoner of Azkaban,ginny,17
Prisoner of Azkaban,glanced,17
Prisoner of Azkaban,grabbed,17
Prisoner of Azkaban,granger,17
Prisoner of Azkaban,happen,17
Prisoner of Azkaban,hooch,17
Prisoner of Azkaban,laughing,17
Prisoner of Azkaban,lily,17
Prisoner of Azkaban,nearer,17
Prisoner of Azkaban,nervously,17
Prisoner of Azkaban,pair,17
Prisoner of Azkaban,picture,17
Prisoner of Azkaban,potion,17
Prisoner of Azkaban,roots,17
Prisoner of Azkaban,smile,17
Prisoner of Azkaban,stairs,17
Prisoner of Azkaban,strode,17
Prisoner of Azkaban,teeth,17
Prisoner of Azkaban,truth,17
Prisoner of Azkaban,twenty,17
Prisoner of Azkaban,vanished,17
Prisoner of Azkaban,wings,17
Prisoner of Azkaban,afraid,16
Prisoner of Azkaban,ah,16
Prisoner of Azkaban,allowed,16
Prisoner of Azkaban,angelina,16
Prisoner of Azkaban,answer,16
Prisoner of Azkaban,buckbeak's,16
Prisoner of Azkaban,carefully,16
Prisoner of Azkaban,closely,16
Prisoner of Azkaban,covered,16
Prisoner of Azkaban,don,16
Prisoner of Azkaban,em,16
Prisoner of Azkaban,fifty,16
Prisoner of Azkaban,footsteps,16
Prisoner of Azkaban,grass,16
Prisoner of Azkaban,hat,16
Prisoner of Azkaban,ill,16
Prisoner of Azkaban,job,16
Prisoner of Azkaban,knees,16
Prisoner of Azkaban,lady,16
Prisoner of Azkaban,lake,16
Prisoner of Azkaban,late,16
Prisoner of Azkaban,nasty,16
Prisoner of Azkaban,paper,16
Prisoner of Azkaban,permission,16
Prisoner of Azkaban,playing,16
Prisoner of Azkaban,pushed,16
Prisoner of Azkaban,reason,16
Prisoner of Azkaban,sank,16
Prisoner of Azkaban,seamus,16
Prisoner of Azkaban,shook,16
Prisoner of Azkaban,stupid,16
Prisoner of Azkaban,throat,16
Prisoner of Azkaban,tight,16
Prisoner of Azkaban,tightly,16
Prisoner of Azkaban,waited,16
Prisoner of Azkaban,walk,16
Prisoner of Azkaban,wands,16
Prisoner of Azkaban,added,15
Prisoner of Azkaban,ago,15
Prisoner of Azkaban,alicia,15
Prisoner of Azkaban,asleep,15
Prisoner of Azkaban,bags,15
Prisoner of Azkaban,ball,15
Prisoner of Azkaban,bent,15
Prisoner of Azkaban,birthday,15
Prisoner of Azkaban,classes,15
Prisoner of Azkaban,closer,15
Prisoner of Azkaban,dormitory,15
Prisoner of Azkaban,edge,15
Prisoner of Azkaban,essay,15
Prisoner of Azkaban,fighting,15
Prisoner of Azkaban,filled,15
Prisoner of Azkaban,flew,15
Prisoner of Azkaban,forced,15
Prisoner of Azkaban,furious,15
Prisoner of Azkaban,glittering,15
Prisoner of Azkaban,goal,15
Prisoner of Azkaban,happily,15
Prisoner of Azkaban,holidays,15
Prisoner of Azkaban,hurt,15
Prisoner of Azkaban,katie,15
Prisoner of Azkaban,laugh,15
Prisoner of Azkaban,led,15
Prisoner of Azkaban,locked,15
Prisoner of Azkaban,lord,15
Prisoner of Azkaban,marauder's,15
Prisoner of Azkaban,mother,15
Prisoner of Azkaban,nimbus,15
Prisoner of Azkaban,opposite,15
Prisoner of Azkaban,remus,15
Prisoner of Azkaban,rolled,15
Prisoner of Azkaban,sleep,15
Prisoner of Azkaban,slipped,15
Prisoner of Azkaban,slytherins,15
Prisoner of Azkaban,snarled,15
Prisoner of Azkaban,spoke,15
Prisoner of Azkaban,sudden,15
Prisoner of Azkaban,summer,15
Prisoner of Azkaban,vernon's,15
Prisoner of Azkaban,view,15
Prisoner of Azkaban,whomping,15
Prisoner of Azkaban,wizarding,15
Prisoner of Azkaban,won,15
Prisoner of Azkaban,worried,15
Prisoner of Azkaban,alive,14
Prisoner of Azkaban,breakfast,14
Prisoner of Azkaban,brown,14
Prisoner of Azkaban,car,14
Prisoner of Azkaban,ceiling,14
Prisoner of Azkaban,cho,14
Prisoner of Azkaban,crack,14
Prisoner of Azkaban,daily,14
Prisoner of Azkaban,days,14
Prisoner of Azkaban,decided,14
Prisoner of Azkaban,die,14
Prisoner of Azkaban,faced,14
Prisoner of Azkaban,fall,14
Prisoner of Azkaban,fallen,14
Prisoner of Azkaban,finger,14
Prisoner of Azkaban,forget,14
Prisoner of Azkaban,funny,14
Prisoner of Azkaban,game,14
Prisoner of Azkaban,gazing,14
Prisoner of Azkaban,gray,14
Prisoner of Azkaban,grip,14
Prisoner of Azkaban,heavy,14
Prisoner of Azkaban,helping,14
Prisoner of Azkaban,hesitated,14
Prisoner of Azkaban,homework,14
Prisoner of Azkaban,hufflepuff,14
Prisoner of Azkaban,impossible,14
Prisoner of Azkaban,ink,14
Prisoner of Azkaban,leaky,14
Prisoner of Azkaban,leapt,14
Prisoner of Azkaban,longbottom,14
Prisoner of Azkaban,lunch,14
Prisoner of Azkaban,middle,14
Prisoner of Azkaban,minute,14
Prisoner of Azkaban,moon,14
Prisoner of Azkaban,oliver,14
Prisoner of Azkaban,pettigrew's,14
Prisoner of Azkaban,piece,14
Prisoner of Azkaban,pleased,14
Prisoner of Azkaban,poor,14
Prisoner of Azkaban,prophet,14
Prisoner of Azkaban,rope,14
Prisoner of Azkaban,sharply,14
