book,bigram,n
Order of the Phoenix,hannah abbott,7
Order of the Phoenix,hogwarts school,7
Order of the Phoenix,hour glass,7
Order of the Phoenix,leaned forwards,7
Order of the Phoenix,occlumency lessons,7
Order of the Phoenix,pearly white,7
Order of the Phoenix,remedial potions,7
Order of the Phoenix,roger davies,7
Order of the Phoenix,seventh floor,7
Order of the Phoenix,skiving snackboxes,7
Order of the Phoenix,snape's desk,7
Order of the Phoenix,snape's office,7
Order of the Phoenix,travelling cloak,7
Order of the Phoenix,wand held,7
Order of the Phoenix,wisteria walk,7
Philosopher's Stone,fat lady,7
Philosopher's Stone,front door,7
Philosopher's Stone,gryffindor common,7
Philosopher's Stone,lee jordan,7
Philosopher's Stone,smelting stick,7
Prisoner of Azkaban,azkaban guards,7
Prisoner of Azkaban,bedside table,7
Prisoner of Azkaban,black eyes,7
Prisoner of Azkaban,forbidden forest,7
Prisoner of Azkaban,front door,7
Prisoner of Azkaban,hagrid's cabin,7
Prisoner of Azkaban,happy memory,7
Prisoner of Azkaban,hedwig's cage,7
Prisoner of Azkaban,lavender brown,7
Prisoner of Azkaban,patronum expecto,7
Prisoner of Azkaban,security trolls,7
Prisoner of Azkaban,tea leaves,7
Chamber of Secrets,dark lord,6
Chamber of Secrets,deep breath,6
Chamber of Secrets,gryffindor table,6
Chamber of Secrets,hedwig's cage,6
Chamber of Secrets,hogwarts school,6
Chamber of Secrets,house elf,6
Chamber of Secrets,neville longbottom,6
Chamber of Secrets,signed photos,6
Chamber of Secrets,steering wheel,6
Chamber of Secrets,ten minutes,6
Chamber of Secrets,treacle fudge,6
Chamber of Secrets,wizarding world,6
Deathly Hallows,bedroom door,6
Deathly Hallows,bill fleur,6
Deathly Hallows,court road,6
Deathly Hallows,crumple horned,6
Deathly Hallows,dressing table,6
Deathly Hallows,expecto patronum,6
Deathly Hallows,familiar voice,6
Deathly Hallows,free hand,6
Deathly Hallows,hermione's hand,6
Deathly Hallows,hog's head,6
Deathly Hallows,lee jordan,6
Deathly Hallows,lightning scar,6
Deathly Hallows,loud crack,6
Deathly Hallows,mad eye's,6
Deathly Hallows,marble staircase,6
Deathly Hallows,miss granger,6
Deathly Hallows,moved forward,6
Deathly Hallows,phoenix feather,6
Deathly Hallows,phoenix wand,6
Deathly Hallows,raised platform,6
Deathly Hallows,ran forward,6
Deathly Hallows,ravenclaw tower,6
Deathly Hallows,secret keeper,6
Deathly Hallows,short distance,6
Deathly Hallows,sorting hat,6
Deathly Hallows,spiral staircase,6
Deathly Hallows,st mungo's,6
Deathly Hallows,stan shunpike,6
Deathly Hallows,stunning spells,6
Deathly Hallows,tottenham court,6
Deathly Hallows,voice echoed,6
Deathly Hallows,white hand,6
Deathly Hallows,wormtail's wand,6
Goblet of Fire,arts teacher,6
Goblet of Fire,black robes,6
Goblet of Fire,brown eyes,6
Goblet of Fire,crocodile skin,6
Goblet of Fire,crouch's son,6
Goblet of Fire,dean thomas,6
Goblet of Fire,dimly lit,6
Goblet of Fire,dumbledore's office,6
Goblet of Fire,er yeah,6
Goblet of Fire,faithful servant,6
Goblet of Fire,fell silent,6
Goblet of Fire,foe glass,6
Goblet of Fire,frank bryce,6
Goblet of Fire,giant squid,6
Goblet of Fire,golden plates,6
Goblet of Fire,hogwarts express,6
Goblet of Fire,horror struck,6
Goblet of Fire,hundred thousand,6
Goblet of Fire,looked extremely,6
Goblet of Fire,ludo bagman's,6
Goblet of Fire,quick quotes,6
Goblet of Fire,quidditch field,6
Goblet of Fire,quotes quill,6
Goblet of Fire,ravenclaw table,6
Goblet of Fire,roger davies,6
Goblet of Fire,silvery hair,6
Goblet of Fire,slightly pink,6
Goblet of Fire,support cedric,6
Goblet of Fire,swung forward,6
Goblet of Fire,twenty feet,6
Goblet of Fire,voldemorts wand,6
Half-Blood Prince,astronomy tower,6
Half-Blood Prince,black water,6
Half-Blood Prince,bowler hat,6
Half-Blood Prince,chocolate cauldrons,6
Half-Blood Prince,deep breath,6
Half-Blood Prince,dumble dore,6
Half-Blood Prince,floor corridor,6
Half-Blood Prince,gryffindor tower,6
Half-Blood Prince,hog's head,6
Half-Blood Prince,looked round,6
Half-Blood Prince,looked slightly,6
Half-Blood Prince,loud bang,6
Half-Blood Prince,luggage rack,6
Half-Blood Prince,magical law,6
Half-Blood Prince,nonverbal spells,6
Half-Blood Prince,phineas nigellus,6
Half-Blood Prince,slytherin table,6
Half-Blood Prince,stan shunpike,6
Half-Blood Prince,twelve grimmauld,6
Half-Blood Prince,unbreakable vow,6
Half-Blood Prince,weasleys wizard,6
Order of the Phoenix,alicia spinnet,6
Order of the Phoenix,anthony goldstein,6
Order of the Phoenix,bad mood,6
Order of the Phoenix,bored voice,6
Order of the Phoenix,classroom door,6
Order of the Phoenix,clenched teeth,6
Order of the Phoenix,devil's snare,6
Order of the Phoenix,dragon steak,6
Order of the Phoenix,er yeah,6
Order of the Phoenix,floo powder,6
Order of the Phoenix,gritted teeth,6
Order of the Phoenix,half past,6
Order of the Phoenix,heart sank,6
Order of the Phoenix,heaven's sake,6
Order of the Phoenix,impediment jinx,6
Order of the Phoenix,ink bottle,6
Order of the Phoenix,kitchen door,6
Order of the Phoenix,loud crack,6
Order of the Phoenix,months ago,6
Order of the Phoenix,moth eaten,6
Order of the Phoenix,moved forwards,6
Order of the Phoenix,neville's legs,6
Order of the Phoenix,padma patil,6
Order of the Phoenix,parvati patil,6
Order of the Phoenix,past midnight,6
Order of the Phoenix,pure blood,6
Order of the Phoenix,quidditch cup,6
Order of the Phoenix,ravenclaw table,6
Order of the Phoenix,reasonable restriction,6
Order of the Phoenix,senior undersecretary,6
Order of the Phoenix,sighed deeply,6
Order of the Phoenix,sirius's knife,6
Order of the Phoenix,sounding slightly,6
Order of the Phoenix,twenty minutes,6
Order of the Phoenix,underage sorcery,6
Order of the Phoenix,voice sounded,6
Order of the Phoenix,walked slowly,6
Philosopher's Stone,chocolate frogs,6
