book,word,n
Half-Blood Prince,hole,27
Half-Blood Prince,immediately,27
Half-Blood Prince,information,27
Half-Blood Prince,lucky,27
Half-Blood Prince,lying,27
Half-Blood Prince,pale,27
Half-Blood Prince,shook,27
Half-Blood Prince,start,27
Half-Blood Prince,steps,27
Half-Blood Prince,thick,27
Half-Blood Prince,tower,27
Half-Blood Prince,wizards,27
Half-Blood Prince,yelled,27
Half-Blood Prince,ahead,26
Half-Blood Prince,apparition,26
Half-Blood Prince,brought,26
Half-Blood Prince,class,26
Half-Blood Prince,completely,26
Half-Blood Prince,enormous,26
Half-Blood Prince,expect,26
Half-Blood Prince,hidden,26
Half-Blood Prince,home,26
Half-Blood Prince,hurt,26
Half-Blood Prince,keeping,26
Half-Blood Prince,lake,26
Half-Blood Prince,reason,26
Half-Blood Prince,security,26
Half-Blood Prince,smiled,26
Half-Blood Prince,staircase,26
Half-Blood Prince,train,26
Half-Blood Prince,trust,26
Half-Blood Prince,wizarding,26
Half-Blood Prince,world,26
Half-Blood Prince,worry,26
Half-Blood Prince,books,25
Half-Blood Prince,bring,25
Half-Blood Prince,ceiling,25
Half-Blood Prince,demanded,25
Half-Blood Prince,deserted,25
Half-Blood Prince,doors,25
Half-Blood Prince,doubt,25
Half-Blood Prince,felicis,25
Half-Blood Prince,fine,25
Half-Blood Prince,firmly,25
Half-Blood Prince,forgotten,25
Half-Blood Prince,goblet,25
Half-Blood Prince,greyback,25
Half-Blood Prince,grounds,25
Half-Blood Prince,laughter,25
Half-Blood Prince,locket,25
Half-Blood Prince,map,25
Half-Blood Prince,objects,25
Half-Blood Prince,pensieve,25
Half-Blood Prince,powerful,25
Half-Blood Prince,prophet,25
Half-Blood Prince,read,25
Half-Blood Prince,realized,25
Half-Blood Prince,surely,25
Half-Blood Prince,term,25
Half-Blood Prince,terrible,25
Half-Blood Prince,threw,25
Half-Blood Prince,trunk,25
Half-Blood Prince,walking,25
Half-Blood Prince,azkaban,24
Half-Blood Prince,basin,24
Half-Blood Prince,broke,24
Half-Blood Prince,business,24
Half-Blood Prince,clutching,24
Half-Blood Prince,compartment,24
Half-Blood Prince,conversation,24
Half-Blood Prince,funny,24
Half-Blood Prince,landed,24
Half-Blood Prince,nodded,24
Half-Blood Prince,owl,24
Half-Blood Prince,perfectly,24
Half-Blood Prince,pitch,24
Half-Blood Prince,shock,24
Half-Blood Prince,surprise,24
Half-Blood Prince,teacher,24
Half-Blood Prince,walls,24
Half-Blood Prince,afraid,23
Half-Blood Prince,attention,23
Half-Blood Prince,bottles,23
Half-Blood Prince,brown,23
Half-Blood Prince,cup,23
Half-Blood Prince,dunno,23
Half-Blood Prince,edge,23
Half-Blood Prince,entrance,23
Half-Blood Prince,fallen,23
Half-Blood Prince,golden,23
Half-Blood Prince,highly,23
Half-Blood Prince,kitchen,23
Half-Blood Prince,luck,23
Half-Blood Prince,missed,23
Half-Blood Prince,pink,23
Half-Blood Prince,safe,23
Half-Blood Prince,slid,23
Half-Blood Prince,snapped,23
Half-Blood Prince,surface,23
Half-Blood Prince,visit,23
Half-Blood Prince,wide,23
Half-Blood Prince,amount,22
Half-Blood Prince,attempted,22
Half-Blood Prince,bent,22
Half-Blood Prince,decided,22
Half-Blood Prince,fault,22
Half-Blood Prince,fixed,22
Half-Blood Prince,forget,22
Half-Blood Prince,heads,22
Half-Blood Prince,heavy,22
Half-Blood Prince,hold,22
Half-Blood Prince,horace,22
Half-Blood Prince,lady,22
Half-Blood Prince,laughed,22
Half-Blood Prince,listening,22
Half-Blood Prince,meet,22
Half-Blood Prince,mum,22
Half-Blood Prince,news,22
Half-Blood Prince,passing,22
Half-Blood Prince,poor,22
Half-Blood Prince,pressed,22
Half-Blood Prince,pretty,22
Half-Blood Prince,quiet,22
Half-Blood Prince,run,22
Half-Blood Prince,seized,22
Half-Blood Prince,sort,22
Half-Blood Prince,woman,22
Half-Blood Prince,bell,21
Half-Blood Prince,bellowed,21
Half-Blood Prince,beneath,21
Half-Blood Prince,bright,21
Half-Blood Prince,carrying,21
Half-Blood Prince,change,21
Half-Blood Prince,charms,21
