book,word,n
Goblet of Fire,frowning,18
Goblet of Fire,grass,18
Goblet of Fire,happen,18
Goblet of Fire,hic,18
Goblet of Fire,hiding,18
Goblet of Fire,hot,18
Goblet of Fire,imperius,18
Goblet of Fire,kill,18
Goblet of Fire,loads,18
Goblet of Fire,opposite,18
Goblet of Fire,panic,18
Goblet of Fire,pay,18
Goblet of Fire,pensieve,18
Goblet of Fire,pressed,18
Goblet of Fire,reach,18
Goblet of Fire,riddle,18
Goblet of Fire,scared,18
Goblet of Fire,servant,18
Goblet of Fire,settled,18
Goblet of Fire,shadow,18
Goblet of Fire,stepped,18
Goblet of Fire,stomach,18
Goblet of Fire,teachers,18
Goblet of Fire,thrown,18
Goblet of Fire,waving,18
Goblet of Fire,wind,18
Goblet of Fire,wormtail's,18
Goblet of Fire,beard,17
Goblet of Fire,believed,17
Goblet of Fire,bell,17
Goblet of Fire,bellowed,17
Goblet of Fire,change,17
Goblet of Fire,coldly,17
Goblet of Fire,color,17
Goblet of Fire,colored,17
Goblet of Fire,defense,17
Goblet of Fire,divination,17
Goblet of Fire,dream,17
Goblet of Fire,enter,17
Goblet of Fire,escaped,17
Goblet of Fire,fellow,17
Goblet of Fire,galleons,17
Goblet of Fire,headed,17
Goblet of Fire,hole,17
Goblet of Fire,homework,17
Goblet of Fire,judge,17
Goblet of Fire,jump,17
Goblet of Fire,keeping,17
Goblet of Fire,krum's,17
Goblet of Fire,leaned,17
Goblet of Fire,lessons,17
Goblet of Fire,lifted,17
Goblet of Fire,lunch,17
Goblet of Fire,note,17
Goblet of Fire,owlery,17
Goblet of Fire,packed,17
Goblet of Fire,plates,17
Goblet of Fire,potions,17
Goblet of Fire,rules,17
Goblet of Fire,sharp,17
Goblet of Fire,ship,17
Goblet of Fire,shoulders,17
Goblet of Fire,song,17
Goblet of Fire,spent,17
Goblet of Fire,swung,17
Goblet of Fire,tasks,17
Goblet of Fire,writing,17
Goblet of Fire,aware,16
Goblet of Fire,breathing,16
Goblet of Fire,catch,16
Goblet of Fire,chairs,16
Goblet of Fire,checking,16
Goblet of Fire,classroom,16
Goblet of Fire,clearing,16
Goblet of Fire,compete,16
Goblet of Fire,curses,16
Goblet of Fire,die,16
Goblet of Fire,enclosure,16
Goblet of Fire,expect,16
Goblet of Fire,eyebrows,16
Goblet of Fire,fang,16
Goblet of Fire,father's,16
Goblet of Fire,fifty,16
Goblet of Fire,fighting,16
Goblet of Fire,firebolt,16
Goblet of Fire,firmly,16
Goblet of Fire,fit,16
Goblet of Fire,flashed,16
Goblet of Fire,fly,16
Goblet of Fire,form,16
Goblet of Fire,gigantic,16
Goblet of Fire,glaring,16
Goblet of Fire,growing,16
Goblet of Fire,hate,16
Goblet of Fire,hurting,16
Goblet of Fire,international,16
Goblet of Fire,knowing,16
Goblet of Fire,leading,16
Goblet of Fire,leaning,16
Goblet of Fire,lynch,16
Goblet of Fire,oddly,16
Goblet of Fire,ollivander,16
Goblet of Fire,plate,16
Goblet of Fire,playing,16
Goblet of Fire,prepared,16
Goblet of Fire,privet,16
Goblet of Fire,question,16
Goblet of Fire,rang,16
Goblet of Fire,reading,16
Goblet of Fire,sick,16
Goblet of Fire,simply,16
Goblet of Fire,soared,16
Goblet of Fire,stronger,16
Goblet of Fire,suggested,16
Goblet of Fire,summoning,16
Goblet of Fire,teach,16
Goblet of Fire,teacher,16
Goblet of Fire,tired,16
Goblet of Fire,tomorrow,16
Goblet of Fire,true,16
Goblet of Fire,vernon's,16
Goblet of Fire,weird,16
Goblet of Fire,wild,16
Goblet of Fire,yellow,16
Goblet of Fire,yer,16
Goblet of Fire,ze,16
Goblet of Fire,afraid,15
Goblet of Fire,anger,15
