book,index,negative,positive,sentiment
Order of the Phoenix,236,76,24,-0.52
Order of the Phoenix,237,72,28,-0.44
Order of the Phoenix,238,63,37,-0.26
Order of the Phoenix,239,68,32,-0.36
Order of the Phoenix,240,49,51,0.02
Order of the Phoenix,241,61,39,-0.22
Order of the Phoenix,242,71,29,-0.42
Order of the Phoenix,243,63,37,-0.26
Order of the Phoenix,244,68,32,-0.36
Order of the Phoenix,245,66,34,-0.32
Order of the Phoenix,246,65,35,-0.3
Order of the Phoenix,247,85,15,-0.7
Order of the Phoenix,248,80,20,-0.6
Order of the Phoenix,249,66,34,-0.32
Order of the Phoenix,250,71,29,-0.42
Order of the Phoenix,251,67,33,-0.34
Order of the Phoenix,252,51,49,-0.02
Order of the Phoenix,253,73,27,-0.46
Order of the Phoenix,254,58,42,-0.16
Order of the Phoenix,255,68,32,-0.36
Order of the Phoenix,256,76,24,-0.52
Order of the Phoenix,257,72,28,-0.44
Order of the Phoenix,258,62,38,-0.24
Order of the Phoenix,259,72,28,-0.44
Order of the Phoenix,260,65,35,-0.3
Order of the Phoenix,261,68,32,-0.36
Order of the Phoenix,262,62,38,-0.24
Order of the Phoenix,263,68,32,-0.36
Order of the Phoenix,264,72,28,-0.44
Order of the Phoenix,265,61,39,-0.22
Order of the Phoenix,266,68,32,-0.36
Order of the Phoenix,267,74,26,-0.48
Order of the Phoenix,268,71,29,-0.42
Order of the Phoenix,269,65,35,-0.3
Order of the Phoenix,270,69,31,-0.38
Order of the Phoenix,271,78,22,-0.56
Order of the Phoenix,272,71,29,-0.42
Order of the Phoenix,273,69,31,-0.38
Order of the Phoenix,274,57,43,-0.14
Order of the Phoenix,275,63,37,-0.26
Order of the Phoenix,276,66,34,-0.32
Order of the Phoenix,277,61,39,-0.22
Order of the Phoenix,278,75,25,-0.5
Order of the Phoenix,279,78,22,-0.56
Order of the Phoenix,280,62,38,-0.24
Order of the Phoenix,281,74,26,-0.48
Order of the Phoenix,282,76,24,-0.52
